rank,station_global_id,station_name,station_slug,degree,line_count,hub_score,betweenness,score_total
1,ST_356842_1397630,大手町,otemachi,6,3,3,0.336088,18.3609
2,ST_356582_1397016,渋谷,shibuya,3,3,3,0.09084,12.9084
3,ST_356826_1397745,日本橋,nihombashi,4,2,2,0.279402,12.794
4,ST_356944_1397503,九段下,kudanshita,4,2,2,0.231446,12.3145
5,ST_356920_1397711,神田,kanda,4,2,2,0.228369,12.2837
6,ST_357127_1397036,高田馬場,takadanobaba,4,2,2,0.212292,12.1229
7,ST_356813_1397666,東京,tokyo,4,2,2,0.205494,12.0549
8,ST_356839_1397739,三越前,mitsukoshi-mae,4,2,2,0.20087,12.0087
9,ST_356714_1397649,銀座,ginza,4,2,2,0.195255,11.9526
10,ST_357140_1397764,上野,ueno,4,2,2,0.144792,11.4479
11,ST_356659_1397582,新橋,shimbashi,4,2,2,0.137814,11.3781
12,ST_356896_1397002,新宿,shinjuku,4,2,2,0.128677,11.2868
13,ST_356796_1397361,赤坂見附,akasaka-mitsuke,4,2,2,0.120676,11.2068
14,ST_357299_1397107,池袋,ikebukuro,3,2,2,0.098493,9.9849
15,ST_356720_1397161,青山一丁目,aoyama-itchome,3,2,2,0.097991,9.9799
16,ST_356652_1397123,表参道,omotesando,2,2,2,0.068491,8.6849
17,ST_356786_1397797,茅場町,kayabacho,2,1,1,0.245378,7.4538
18,ST_356717_1397952,門前仲町,monzen-nakacho,2,1,1,0.228011,7.2801
19,ST_356718_1398175,木場,kiba,2,1,1,0.210084,7.1008
20,ST_356753_1398278,東陽町,toyocho,2,1,1,0.191597,6.916
21,ST_356697_1398378,南砂町,minami-sunacho,2,1,1,0.172549,6.7255
22,ST_357020_1397456,飯田橋,iidabashi,2,1,1,0.155744,6.5574
23,ST_356583_1398694,西葛西,nishi-kasai,2,1,1,0.152941,6.5294
24,ST_357083_1397199,早稲田,waseda,2,1,1,0.146245,6.4624
25,ST_356556_1398786,葛西,kasai,2,1,1,0.132773,6.3277
26,ST_357014_1397003,新大久保,shin-okubo,2,1,1,0.118107,6.1811
27,ST_356556_1398944,浦安,urayasu,2,1,1,0.112045,6.1204
28,ST_356898_1397583,竹橋,takebashi,2,1,1,0.104063,6.0406
29,ST_356958_1397577,神保町,jimbocho,2,1,1,0.104063,6.0406
30,ST_356742_1397498,霞ケ関,kasumigaseki,2,1,1,0.094121,5.9412
31,ST_357210_1397064,目白,mejiro,2,1,1,0.092816,5.9282
32,ST_356694_1399064,南行徳,minami-gyotoku,2,1,1,0.090756,5.9076
33,ST_356826_1397837,水天宮前,suitengumae,2,1,1,0.090756,5.9076
34,ST_356985_1397730,秋葉原,akihabara,2,1,1,0.090366,5.9037
35,ST_357026_1397726,末広町,suehirocho,2,1,1,0.090366,5.9037
36,ST_356550_1397570,浜松町,hamamatsucho,2,1,1,0.085647,5.8565
37,ST_356939_1397671,淡路町,awajicho,2,1,1,0.085271,5.8527
38,ST_356742_1397401,国会議事堂前,kokkai-gijidomae,2,1,1,0.084878,5.8488
39,ST_356762_1397713,京橋,kyobashi,2,1,1,0.079496,5.795
40,ST_357071_1397747,御徒町,okachimachi,2,1,1,0.074029,5.7403
41,ST_357077_1397745,上野広小路,ueno-hirokoji,2,1,1,0.074029,5.7403
42,ST_357213_1397783,鶯谷,uguisudani,2,1,1,0.069419,5.6942
43,ST_356837_1397458,半蔵門,hanzomon,2,1,1,0.069379,5.6938
44,ST_356703_1399144,行徳,gyotoku,2,1,1,0.068908,5.6891
45,ST_356789_1397975,清澄白河,kiyosumi-shirakawa,2,1,1,0.068908,5.6891
46,ST_356998_1397657,御茶ノ水,ochanomizu,2,1,1,0.067829,5.6783
47,ST_356457_1397477,田町,tamachi,2,1,1,0.066787,5.6679
48,ST_356738_1397401,永田町,nagatacho,2,1,1,0.059006,5.5901
49,ST_357317_1397285,大塚,otsuka,2,1,1,0.058354,5.5835
50,ST_357279_1397705,日暮里,nippori,2,1,1,0.057588,5.5759
51,ST_357079_1397614,本郷三丁目,hongo-sanchome,2,1,1,0.053749,5.5375
52,ST_356866_1397302,四ツ谷,yotsuya,2,1,1,0.052703,5.527
53,ST_356352_1397405,高輪ゲートウェイ,takanawa-gateway,2,1,1,0.050076,5.5008
54,ST_357324_1397665,西日暮里,nishi-nippori,2,1,1,0.048117,5.4812
55,ST_357165_1397825,稲荷町,inaricho,2,1,1,0.046499,5.465
56,ST_356722_1399269,妙典,myoden,2,1,1,0.046499,5.465
57,ST_356881_1398175,住吉,sumiyoshi,2,1,1,0.046499,5.465
58,ST_356833_1397022,代々木,yoyogi,2,1,1,0.045972,5.4597
59,ST_356702_1397024,原宿,harajuku,2,1,1,0.045895,5.459
60,ST_356470_1397098,恵比寿,ebisu,2,1,1,0.045445,5.4544
61,ST_357332_1397389,巣鴨,sugamo,2,1,1,0.044109,5.4411
62,ST_357074_1397519,後楽園,korakuen,2,1,1,0.043497,5.435
63,ST_356747_1397627,有楽町,yurakucho,2,1,1,0.043487,5.4349
64,ST_357372_1397619,田端,tabata,2,1,1,0.041917,5.4192
65,ST_356869_1397222,四谷三丁目,yotsuya-sanchome,2,1,1,0.040658,5.4066
66,ST_357365_1397469,駒込,komagome,2,1,1,0.038769,5.3877
67,ST_356283_1397384,品川,shinagawa,2,1,1,0.037166,5.3717
68,ST_357196_1397283,茗荷谷,myogadani,2,1,1,0.036307,5.3631
69,ST_357237_1397280,新大塚,shin-otsuka,2,1,1,0.033217,5.3322
70,ST_356672_1397497,虎ノ門,toranomon,2,1,1,0.031849,5.3185
